Front,Back,Tags
"What is CKA (Centered Kernel Alignment)?","A metric for measuring representational similarity between two sets of neural network activations, invariant to orthogonal transformations (rotations) and isotropic scaling. CKA = HSIC(K,L) / sqrt(HSIC(K,K) · HSIC(L,L)), where K and L are kernel matrices from each model's activations. Returns 0-1. Introduced by Kornblith et al. (2019).","CKA,methodology,cross-model-oracles"
"Why can't we directly compare activation vectors from two different models?","Two reasons: (1) Dimensions may differ (Gemma d=2304, Qwen d=1536 — can't even compute cosine similarity). (2) Even with matching dims, each model develops its own arbitrary internal coordinate system during training (random initialization → incompatible 'rotations' of the same underlying structure). Raw vector comparison is meaningless.","CKA,intuition,cross-model-oracles"
"What is a kernel matrix (Gram matrix) in the context of CKA?","For n prompts with activation matrix X (n × d_model), the kernel matrix K = XX^T is an n×n matrix where K_ij = dot(x_i, x_j). It captures the pairwise similarity structure between all prompts within one model. Crucially, K is the same size (n×n) regardless of d_model, allowing cross-model comparison.","CKA,methodology,cross-model-oracles"
"Why does CKA use HSIC instead of plain correlation between flattened kernel matrices?","Two problems with plain correlation: (1) Diagonal entries (K_ii = self-similarity) are always large/identical for both models, inflating correlation for free. (2) Off-diagonal noise from unrelated prompts can dominate. HSIC fixes both by centering the kernel matrices (K̃ = HKH where H = I - (1/n)·11^T), removing row/column means and the diagonal baseline before measuring correlation.","CKA,HSIC,methodology,cross-model-oracles"
"What is HSIC (Hilbert-Schmidt Independence Criterion)?","A measure of statistical dependence between two kernel matrices. Empirical estimator: HSIC(K,L) = (1/n²) · trace(K̃ · L̃), where K̃ and L̃ are centered kernel matrices. Think of it as a correlation measure for matrices — it asks 'do these two similarity structures covary?'. The debiased version corrects for finite sample bias (like using n-1 instead of n for variance).","HSIC,CKA,methodology,cross-model-oracles"
"What does centering a kernel matrix do? (K̃ = HKH)","Removes the baseline similarity level: subtracts row means, column means, and adds back the grand mean. After centering, the diagonal no longer dominates. Each entry reflects how much that pairwise similarity DEVIATES from the average pattern. Analogous to subtracting the mean before computing Pearson correlation.","CKA,HSIC,methodology,cross-model-oracles"
"Why is CKA invariant to orthogonal transformations (rotations)?","If X is rotated by R (→ XR), the kernel matrix K = (XR)(XR)^T = XRR^TX^T = XX^T = K (unchanged), because R^TR = I for orthogonal matrices. Since K doesn't change, HSIC doesn't change, and CKA doesn't change. The rotation cancels itself out in the dot-product computation.","CKA,rotation-invariance,cross-model-oracles"
"What is the Orthogonal Procrustes problem?","Given matrices X and Y (same dimensions), find rotation R that minimizes ||XR - Y||² subject to R^TR = I. Solution via SVD: compute M = X^TY, take SVD: M = UΣV^T, then R = UV^T. This gives the optimal orthogonal rotation aligning X's coordinate system to Y's. Named after Procrustes from Greek myth.","Procrustes,alignment,cross-model-oracles"
"How does SVD solve the Procrustes problem? (step by step)","1) Compute M = X^TY (cross-correlation of the two activation matrices). 2) Take SVD: M = UΣV^T. 3) R = UV^T is the optimal rotation. Why: expanding ||XR-Y||² and using R^TR=I, minimizing reduces to maximizing trace(R^TM). SVD finds the rotation that maximally aligns the principal axes of the cross-correlation.","Procrustes,SVD,alignment,cross-model-oracles"
"Why can't we use orthogonal Procrustes when d_model differs between models?","The orthogonality constraint R^TR = I requires R to be a square matrix (d × d). If Gemma has d=2304 and Qwen d=1536, R would be 2304×1536 — rectangular. R^TR would be 1536×1536 but RR^T would be 2304×2304; both can't equal identity. Orthogonal matrices must be square.","Procrustes,d_model-mismatch,cross-model-oracles"
"What alternatives exist when d_model doesn't match for cross-model alignment?","(1) Ridge regression: minimize ||XW - Y||² + λ||W||² — unconstrained linear map with L2 regularization. (2) Low-rank factorization W = AB (LoRA-style): A is (d_source × r), B is (r × d_target), reducing parameters from d_source·d_target to (d_source + d_target)·r. (3) L1/LASSO for sparse mappings. Each gives progressively weaker geometric guarantees.","alignment,ridge-regression,LoRA,cross-model-oracles"
"Why use L2 (ridge) regularization instead of L1 (LASSO) for cross-model activation alignment?","L2 shrinks all parameters uniformly — assumes the mapping is dense (every source dimension contributes to every target dimension). This matches the rotation hypothesis (rotations are dense matrices). L1 creates sparsity (many entries = 0), implying only a few cross-dimension correspondences exist — which would actually undermine the Platonic hypothesis. L1 is useful as a diagnostic, not the default.","regularization,alignment,cross-model-oracles"
"What is the LoRA-style low-rank decomposition W = AB for cross-model alignment?","Instead of learning full W (d_source × d_target), decompose as W = AB where A is (d_source × r) and B is (r × d_target). For r=64, Gemma→Qwen goes from 3.5M to 246K parameters. This encodes the hypothesis that cross-model correspondence lives in a low-dimensional subspace, connecting to SVCCA's finding that representations have low intrinsic dimensionality.","LoRA,alignment,cross-model-oracles"
"What hierarchy of claims do different alignment methods support?","From strongest to weakest: (1) Orthogonal Procrustes (R^TR=I): 'Representations are geometrically equivalent — distances and angles preserved.' (2) Linear W (ridge): 'Some linear relationship exists, but could be lossy/overfit.' (3) Neural network: 'Some nonlinear function maps one to the other' — almost always possible, proves little. For Platonic hypothesis, we want claim 1.","alignment,methodology,cross-model-oracles"
"What is the Platonic Representation Hypothesis? (Huh et al., 2024)","Different neural networks — regardless of architecture, training data, or even modality (vision vs language) — converge toward the SAME statistical representation of reality, differing only by rotation. As models scale up, they converge closer to this 'Platonic ideal.' Evidence: CKA between vision and language models increases with model size. Published ICML 2024.","platonic-hypothesis,foundation,cross-model-oracles"
"What are the three parts of Huh et al.'s argument for the Platonic Representation Hypothesis?","(1) Data generation: Reality has fixed statistical structure; images and text are different windows onto the same underlying distribution. (2) Convergence pressure: Larger models must capture finer-grained structure; since there's only one reality, they converge to the same representation. (3) Kernel convergence evidence: Measured CKA between vision and language models; bigger models are measurably more aligned.","platonic-hypothesis,foundation,cross-model-oracles"
"What is the Linear Representation Hypothesis? (Park & Nanda, 2023)","High-level concepts (truth, sentiment, toxicity) are represented as LINEAR DIRECTIONS in activation space — not curved manifolds or distributed codes. 'Truth' is a direction vector; activations move along that direction as content becomes more/less truthful. Formalizes the connection between linear probing and model steering. Published ICLR 2025.","linear-representation,foundation,cross-model-oracles"
"Why does the Linear Representation Hypothesis matter for cross-model oracle transfer?","If concepts are linear directions, then LINEAR mappings (Procrustes/ridge) are the RIGHT tool for cross-model transfer. A rotation maps linear directions to linear directions. If concepts were nonlinear manifolds, we'd need a neural network mapper and the problem would be much harder. The hypothesis justifies our choice of alignment method.","linear-representation,cross-model-oracles"
