rank,seed,src_acc,tgt_acc,majority,frozen_acc,task_acc,task,pair
4,42,0.587,0.843,0.557,,0.535,sst2_sentiment,cross_arch_gemma_qwen
4,123,0.563,0.843,0.529,,0.532,sst2_sentiment,cross_arch_gemma_qwen
4,456,0.589,0.83,0.525,,0.528,sst2_sentiment,cross_arch_gemma_qwen
8,42,0.587,0.843,0.557,,0.542,sst2_sentiment,cross_arch_gemma_qwen
8,123,0.563,0.843,0.529,,0.54,sst2_sentiment,cross_arch_gemma_qwen
8,456,0.589,0.83,0.525,,0.527,sst2_sentiment,cross_arch_gemma_qwen
16,42,0.587,0.843,0.557,,0.542,sst2_sentiment,cross_arch_gemma_qwen
16,123,0.563,0.843,0.529,,0.536,sst2_sentiment,cross_arch_gemma_qwen
16,456,0.589,0.83,0.525,,0.528,sst2_sentiment,cross_arch_gemma_qwen
32,42,0.587,0.843,0.557,0.565,0.533,sst2_sentiment,cross_arch_gemma_qwen
32,123,0.563,0.843,0.529,0.535,0.531,sst2_sentiment,cross_arch_gemma_qwen
32,456,0.589,0.83,0.525,0.532,0.528,sst2_sentiment,cross_arch_gemma_qwen
64,42,0.587,0.843,0.557,0.569,0.54,sst2_sentiment,cross_arch_gemma_qwen
64,123,0.563,0.843,0.529,0.542,0.541,sst2_sentiment,cross_arch_gemma_qwen
64,456,0.589,0.83,0.525,0.529,0.528,sst2_sentiment,cross_arch_gemma_qwen
128,42,0.587,0.843,0.557,0.569,0.528,sst2_sentiment,cross_arch_gemma_qwen
128,123,0.563,0.843,0.529,0.544,0.535,sst2_sentiment,cross_arch_gemma_qwen
128,456,0.589,0.83,0.525,0.537,0.528,sst2_sentiment,cross_arch_gemma_qwen
256,42,0.587,0.843,0.557,0.558,0.542,sst2_sentiment,cross_arch_gemma_qwen
256,123,0.563,0.843,0.529,0.548,0.537,sst2_sentiment,cross_arch_gemma_qwen
256,456,0.589,0.83,0.525,0.544,0.528,sst2_sentiment,cross_arch_gemma_qwen
-1,42,0.587,0.843,0.557,0.563,0.544,sst2_sentiment,cross_arch_gemma_qwen
-1,123,0.563,0.843,0.529,0.546,0.527,sst2_sentiment,cross_arch_gemma_qwen
-1,456,0.589,0.83,0.525,0.538,0.526,sst2_sentiment,cross_arch_gemma_qwen
4,42,0.844,0.864,0.557,0.524,0.568,sst2_sentiment,within_family_llama
4,123,0.847,0.855,0.529,0.529,0.542,sst2_sentiment,within_family_llama
4,456,0.843,0.868,0.525,0.517,0.515,sst2_sentiment,within_family_llama
8,42,0.844,0.864,0.557,0.55,0.652,sst2_sentiment,within_family_llama
8,123,0.847,0.855,0.529,0.53,0.666,sst2_sentiment,within_family_llama
8,456,0.843,0.868,0.525,0.538,0.65,sst2_sentiment,within_family_llama
16,42,0.844,0.864,0.557,0.46,0.763,sst2_sentiment,within_family_llama
16,123,0.847,0.855,0.529,0.561,0.742,sst2_sentiment,within_family_llama
16,456,0.843,0.868,0.525,0.5,0.756,sst2_sentiment,within_family_llama
32,42,0.844,0.864,0.557,0.602,0.797,sst2_sentiment,within_family_llama
32,123,0.847,0.855,0.529,0.627,0.805,sst2_sentiment,within_family_llama
32,456,0.843,0.868,0.525,0.658,0.806,sst2_sentiment,within_family_llama
64,42,0.844,0.864,0.557,0.713,0.827,sst2_sentiment,within_family_llama
64,123,0.847,0.855,0.529,0.648,0.832,sst2_sentiment,within_family_llama
64,456,0.843,0.868,0.525,0.625,0.825,sst2_sentiment,within_family_llama
128,42,0.844,0.864,0.557,0.764,0.821,sst2_sentiment,within_family_llama
128,123,0.847,0.855,0.529,0.719,0.826,sst2_sentiment,within_family_llama
128,456,0.843,0.868,0.525,0.566,0.835,sst2_sentiment,within_family_llama
256,42,0.844,0.864,0.557,0.735,0.821,sst2_sentiment,within_family_llama
256,123,0.847,0.855,0.529,0.739,0.829,sst2_sentiment,within_family_llama
256,456,0.843,0.868,0.525,0.737,0.824,sst2_sentiment,within_family_llama
-1,42,0.844,0.864,0.557,0.745,0.814,sst2_sentiment,within_family_llama
