method,rank,seed,src_train_acc,src_test_acc,tgt_direct_acc,transfer_acc,majority_baseline,alignment_test_loss,alignment_r2,task,pair_name,source_model,source_layer,target_model,target_layer
low_rank_1,1,42,0.6518,0.587,0.843,0.493,0.557,1.2176,-0.482,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_1,1,123,0.6577,0.563,0.843,0.508,0.529,1.2271,-0.505,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_1,1,456,0.655,0.589,0.83,0.525,0.525,1.255,-0.5742,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_2,2,42,0.6518,0.587,0.843,0.55,0.557,1.2218,-0.4921,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_2,2,123,0.6577,0.563,0.843,0.524,0.529,1.2294,-0.5106,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_2,2,456,0.655,0.589,0.83,0.537,0.525,1.2621,-0.5923,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_4,4,42,0.6518,0.587,0.843,0.552,0.557,1.2242,-0.498,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_4,4,123,0.6577,0.563,0.843,0.532,0.529,1.2314,-0.5155,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_4,4,456,0.655,0.589,0.83,0.539,0.525,1.2643,-0.598,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_8,8,42,0.6518,0.587,0.843,0.523,0.557,1.2259,-0.5021,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_8,8,123,0.6577,0.563,0.843,0.57,0.529,1.2334,-0.5203,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_8,8,456,0.655,0.589,0.83,0.528,0.525,1.2662,-0.6028,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_16,16,42,0.6518,0.587,0.843,0.587,0.557,1.2277,-0.5066,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_16,16,123,0.6577,0.563,0.843,0.6,0.529,1.2349,-0.5242,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_16,16,456,0.655,0.589,0.83,0.59,0.525,1.2679,-0.607,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_32,32,42,0.6518,0.587,0.843,0.605,0.557,1.2297,-0.5113,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_32,32,123,0.6577,0.563,0.843,0.592,0.529,1.2369,-0.529,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_32,32,456,0.655,0.589,0.83,0.596,0.525,1.2698,-0.6118,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_64,64,42,0.6518,0.587,0.843,0.607,0.557,1.2322,-0.5176,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_64,64,123,0.6577,0.563,0.843,0.608,0.529,1.2393,-0.5349,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_64,64,456,0.655,0.589,0.83,0.596,0.525,1.2723,-0.618,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_128,128,42,0.6518,0.587,0.843,0.614,0.557,1.2356,-0.526,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_128,128,123,0.6577,0.563,0.843,0.613,0.529,1.2425,-0.543,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_128,128,456,0.655,0.589,0.83,0.627,0.525,1.2755,-0.6264,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_256,256,42,0.6518,0.587,0.843,0.645,0.557,1.2395,-0.5356,sst2_sentiment,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
